DISCA	Discovery Communications Inc.	David M. Zaslav	2014	156077912
GBL	Gamco Investors Inc. Et Al	Mario J. Gabelli	2014	88518411
MSFT	Microsoft Corp	Satya Nadella	2014	84308755
ORCL	Oracle Corp	Lawrence J. Ellison	2014	67261251
LGF	Lions Gate Entertainment Corp	Jon Feltheimer	2014	63601493
BAS	Basic Energy Services Inc	T.M. (Roe) Patterson	2014	62863840
QCOM	Qualcomm Inc	Steven M. Mollenkopf	2014	60740592
CBS	CBS Corp	Leslie Moonves	2014	57175645
S	Sprint Corp	Daniel R. Hesse	2013	47077699
DIS	Walt Disney Co	Robert A. Iger	2014	46497018
VIAB	Viacom Inc.	Philippe P. Dauman	2014	44334858
MBI	MBIA Inc	Joseph W. Brown	2014	43602334
YHOO	Yahoo Inc	Marissa A. Mayer	2014	42083508
REGN	Regeneron Pharmaceuticals Inc	Leonard S. Schleifer M.D. Ph.D	2014	41965424
AMCX	AMC Networks Inc.	Mr. Joshua W. Sapan	2014	40313856
CRM	Salesforce Com Inc	Marc Benioff	2015	39907534
PRU	Prudential Financial Inc	John R Strangfeld	2014	37483092
GE	General Electric Co	Jeffrey R. Immelt	2014	37250774
VRTX	Vertex Pharmaceuticals Inc	Jeffrey M. Leiden	2014	36635468
TWC	Time Warner Cable Inc.	Rob Marcus	2014	34615597
LMT	Lockheed Martin Corp	Marillyn A. Hewson	2014	33687442
HIG	Hartford Financial Services Group Inc	Liam Mcgee	2014	33479089
UTHR	United Therapeutics Corp	Martine Rothblatt	2014	33214929
XOM	Exxon Mobil Corp	R.W. Tillerson	2014	33096312
CMCSA	Comcast Corp	Brian L. Roberts	2014	32961056
TWX	Time Warner Inc.	Jeffrey L. Bewkes	2014	32903139
INCY	Incyte Corp	Herv?? Hoppenot	2014	32691026
CZR	Caesars Entertainment Corp	Gary Loveman	2014	32650741
ARMK	Aramark	Eric J. Foss	2014	32422382
LVNTB	Liberty Interactive Corp	Gregory B. Maffei	2014	32368101
CVS	CVS Health Corp	Larry J. Merlo	2014	32350733
N	NetSuite Inc	Zachary Nelson	2014	31640991
SFXE	SFX Entertainment Inc	Robert F. X. Sillerman	2013	30286521
TDG	Transdigm Group Inc	W. Nicholas Howley	2014	30245400
JNPR	Juniper Networks Inc	Shaygan Kheradpir	2014	30165992
VGR	Vector Group Ltd	Howard M. Lorber	2014	29636639
FOXA	Twenty-First Century Fox Inc.	K. Rupert Murdoch	2014	29247871
HON	Honeywell International Inc	David M. Cote	2014	29142121
CMG	Chipotle Mexican Grill Inc	Steve Ells	2014	28924270
BA	Boeing Co	W. James Mcnerney Jr	2014	28861920
TJX	TJX Companies Inc	Carol Meyrowitz	2015	28692391
TGT	Target Corp	Brian C. Cornell	2014	28164024
UNP	Union Pacific Corp	John J. Koraleski	2014	28144047
SSTK	Shutterstock Inc.	Jonathan Oringer	2014	27586959
COP	ConocoPhillips	R.M. Lance	2014	27575900
RTN	Raytheon Co	William H. Swanson	2014	27371707
AR	Antero Resources Corp	Paul M. Rady	2014	27334673
UTX	United Technologies Corp	Louis Ch??nevert	2014	27107982
BMY	Bristol Myers Squibb Co	Lamberto Andreotti	2014	27062382
LQ	La Quinta Holdings Inc.	Wayne B. Goldberg	2014	26739908
DOW	Dow Chemical Co	Andrew Liveris	2014	26642438
CYH	Community Health Systems Inc	Wayne T. Smith	2014	26441382
KATE	Kate Spade & Co	William Mccomb	2014	26225335
CVX	Chevron Corp	J.S. Watson	2014	25970417
